"id","participantId","visualizationIndex","questionAnswers","createdAt"
"2c7d1af5-b4e4-4887-8ec2-d65ad2ea5c17","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",1,"{""Somewhat agree"",""Low emotionality"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",Unlikely}","2022-12-21 02:09:41.541"
"447e0751-1e6a-4c7b-9852-8333ead610cf","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",2,"{Disagree,""Not at all emotional"",""Slightly believable"",""Slightly truthful"",""Slightly credible"",""Very unlikely""}","2022-12-21 02:10:11.976"
"e60e63c4-f7c8-4974-b398-8afbcdbfcc0f","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",3,"{""Strongly disagree"",""Not at all emotional"",Believable,""Very truthful"",""Very credible"",""Very unlikely""}","2022-12-21 02:10:57.623"
"9f60d640-eb2e-4dde-935b-a2f2a829fe85","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",4,"{""Strongly disagree"",""Not at all emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very unlikely""}","2022-12-21 02:13:29.992"
"bd1e5054-c2c8-493d-9272-285cf85c9261","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",5,"{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","2022-12-21 02:13:54.647"
"482eea0d-3706-4d1b-ad88-67e8ee0e5984","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",6,"{Disagree,""Slightly emotional"",""Very believable"",""Very truthful"",""Very credible"",""Very unlikely""}","2022-12-21 02:14:27.122"
"e9b8f20e-42e8-4a09-bf86-51466e04a192","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",7,"{""Strongly agree"",Emotional,""Low believability"",""Low truthfulness"",""Not at all credible"",""Very unlikely""}","2022-12-21 02:14:52.49"
"5ecae2df-f57c-48f7-bec9-27ef893bd71a","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",8,"{""Strongly disagree"",""Not at all emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very unlikely""}","2022-12-21 02:15:20.212"
"40d60752-c93c-4f47-ba50-8fdbb03ea8d8","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",9,"{""Strongly disagree"",""Not at all emotional"",""Slightly believable"",""Moderately truthful"",""Slightly credible"",""Very unlikely""}","2022-12-21 02:15:55.237"
"f1ea220b-d2cc-4dab-bec3-20ab31518494","77392625-9933-4210-a69c-28caa4e0e952",1,"{""Strongly agree"",""Very emotional"",""Moderately believable"",""Moderately truthful"",""Moderately credible"",""Somewhat likely""}","2022-12-21 02:16:00.876"
"294fb81a-a0c9-44ac-9512-baba4c8038b9","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",10,"{""Strongly agree"",""Moderately emotional"",""Not at all believable"",""Not at all truthful"",""Not at all credible"",""Very unlikely""}","2022-12-21 02:16:28.9"
"ac6ec0d7-6c18-4a82-8846-080bd325d233","77392625-9933-4210-a69c-28caa4e0e952",2,"{""Somewhat disagree"",""Moderately emotional"",""Very believable"",""Very truthful"",""Very credible"",Likely}","2022-12-21 02:17:28.348"
"6676e882-dcd5-40fd-b30b-a94384dd75b1","77392625-9933-4210-a69c-28caa4e0e952",3,"{Agree,Emotional,""Very believable"",""Very truthful"",""Very credible"",Likely}","2022-12-21 02:18:26.109"
"2ec1969b-63cb-4061-9ac6-9838a4420765","77392625-9933-4210-a69c-28caa4e0e952",4,"{Disagree,""Not at all emotional"",""Extremely believable"",""Very truthful"",""Very credible"",Likely}","2022-12-21 02:19:12.956"
"e6717e41-32a2-4845-bf70-759241839764","77392625-9933-4210-a69c-28caa4e0e952",5,"{""Strongly agree"",""Extremely emotional"",""Extremely believable"",""Extremely truthful"",""Extremely credible"",""Very likely""}","2022-12-21 02:19:59.903"
"3bb9ae99-3a73-4ba4-ae5f-9538b479574f","77392625-9933-4210-a69c-28caa4e0e952",6,"{""Somewhat disagree"",""Moderately emotional"",Believable,Truthful,Credible,""Somewhat likely""}","2022-12-21 02:21:14.443"
