"id","participantId","snippetIndex","questionAnswers","highlightedWordIndices","createdAt"
"a63bf48b-5f92-4f34-9058-32423f1a1ed2","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",0,"{Agree,""Moderately emotional"",""Slightly believable"",""Slightly truthful"",""Low credibility"",""Very unlikely""}","{11,12,13,40,41}","2022-12-21 02:17:41.922"
"26995356-4d0a-4ebc-a4a2-6de02cd212cc","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",1,"{Disagree,""Slightly emotional"",""Extremely believable"",""Extremely truthful"",""Very credible"",""Very unlikely""}","{22,23,24,27,28}","2022-12-21 02:18:14.354"
"8646f218-f7f6-4533-a45e-89f33eff45fc","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",2,"{""Strongly disagree"",Emotional,Believable,""Extremely truthful"",""Very credible"",""Very unlikely""}","{16}","2022-12-21 02:18:51.978"
"42738d8d-1d88-4cf7-b7ee-102b85221413","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",3,"{Disagree,""Moderately emotional"",""Very believable"",""Extremely truthful"",""Very credible"",""Very unlikely""}","{11,22,23,24,25,33}","2022-12-21 02:19:28.017"
"81076153-d89d-41db-9b2e-e31e14ffd87b","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",4,"{""Strongly agree"",""Extremely emotional"",""Moderately believable"",""Moderately truthful"",""Slightly credible"",""Very unlikely""}","{0,1,32,33,44}","2022-12-21 02:20:07.586"
"4b0a81e8-b5ab-4443-a9c3-f3e6c33927d3","759d0f84-7e7d-4b5a-a49a-8aabe0394e68",5,"{""Strongly agree"",""Slightly emotional"",Believable,""Very truthful"",""Moderately credible"",""Very unlikely""}","{29,30,31,59}","2022-12-21 02:20:41.512"
"8462582e-ba42-488c-afb9-d0cdaf5059bc","77392625-9933-4210-a69c-28caa4e0e952",0,"{Disagree,""Low emotionality"",""Very believable"",""Very truthful"",""Very credible"",Likely}","{}","2022-12-21 02:25:52.507"
"624580c7-ce1b-4e7f-82fb-4f363a866c71","77392625-9933-4210-a69c-28caa4e0e952",1,"{Agree,""Very emotional"",Believable,""Moderately truthful"",""Moderately credible"",""Somewhat likely""}","{11,12,13,14,15,16}","2022-12-21 02:27:13.401"
"3ce94d44-2f59-4dcc-aa27-59c6138d12d1","77392625-9933-4210-a69c-28caa4e0e952",2,"{Disagree,""Low emotionality"",Believable,Truthful,Credible,""Somewhat likely""}","{}","2022-12-21 02:27:51.567"
"9d4d7e02-24a2-4f0f-8c99-b0a4ab710e07","77392625-9933-4210-a69c-28caa4e0e952",3,"{""Somewhat disagree"",""Slightly emotional"",Believable,Truthful,Credible,""Neither unlikely nor likely""}","{}","2022-12-21 02:29:01.39"
"bde99d1a-b86e-4e30-aaef-22f166c6f250","77392625-9933-4210-a69c-28caa4e0e952",4,"{Disagree,""Low emotionality"",""Very believable"",""Very truthful"",""Very credible"",Likely}","{}","2022-12-21 02:29:34.018"
"18a3aa39-3ee7-48d5-a2c0-545cc19d509b","77392625-9933-4210-a69c-28caa4e0e952",5,"{Disagree,""Not at all emotional"",""Very believable"",""Very truthful"",""Very credible"",Likely}","{}","2022-12-21 02:30:12.42"
"4f5ba1af-7236-407a-8d41-12dbcd95ce8d","0d2149b3-1fe5-4c08-97e7-869d11db6a9f",0,"{Agree,Emotional,Believable,Truthful,Credible,""Neither unlikely nor likely""}","{}","2022-12-21 02:34:07.857"
"ce602b5b-d811-45f8-9656-6c0309b7e719","0d2149b3-1fe5-4c08-97e7-869d11db6a9f",1,"{Agree,""Very emotional"",""Very believable"",""Very truthful"",Credible,""Neither unlikely nor likely""}","{}","2022-12-21 02:34:26.867"
"ce6b5931-ccd9-420f-aa94-f388422c0de9","0d2149b3-1fe5-4c08-97e7-869d11db6a9f",2,"{Agree,""Very emotional"",""Very believable"",Truthful,""Very credible"",""Neither unlikely nor likely""}","{}","2022-12-21 02:34:46.757"
"22c5639b-35fc-4136-9269-ae56adbcbcac","0d2149b3-1fe5-4c08-97e7-869d11db6a9f",3,"{Agree,""Very emotional"",""Very believable"",""Very truthful"",""Very credible"",""Somewhat likely""}","{}","2022-12-21 02:35:01.237"
"ead4c292-9f4b-42da-8c37-f93299c0dc8e","0d2149b3-1fe5-4c08-97e7-869d11db6a9f",4,"{""Somewhat agree"",Emotional,Believable,Truthful,Credible,""Somewhat likely""}","{}","2022-12-21 02:35:19.464"
"bf257188-8fe3-453a-bf4a-81812bc29362","0d2149b3-1fe5-4c08-97e7-869d11db6a9f",5,"{""Somewhat agree"",Emotional,Believable,Truthful,Credible,""Somewhat likely""}","{}","2022-12-21 02:35:30.619"
"c8e5abaa-9070-4e3a-ae5a-aeadd9b48b0f","3b6f92c1-18a0-46b0-bc6b-74bde90f1192",0,"{Disagree,""Slightly emotional"",""Very believable"",""Very truthful"",""Very credible"",""Very unlikely""}","{}","2022-12-21 02:37:01.226"
"0feb9079-f37b-403a-880c-39766a3ca683","3b6f92c1-18a0-46b0-bc6b-74bde90f1192",1,"{""Somewhat disagree"",Emotional,""Very believable"",""Very truthful"",""Very credible"",Unlikely}","{16}","2022-12-21 02:38:06.387"
